region;kön;tabellinnehåll;år;Värde
Upplands Väsby;män;Antal;2000;1.43
Upplands Väsby;män;Antal;2001;1.52
Upplands Väsby;män;Antal;2002;1.51
Upplands Väsby;män;Antal;2003;1.64
Upplands Väsby;män;Antal;2004;1.56
Upplands Väsby;män;Antal;2005;1.68
Upplands Väsby;män;Antal;2006;1.67
Upplands Väsby;män;Antal;2007;1.77
Upplands Väsby;män;Antal;2008;1.65
Upplands Väsby;män;Antal;2009;1.78
Upplands Väsby;män;Antal;2010;1.72
Upplands Väsby;män;Antal;2011;1.55
Upplands Väsby;män;Antal;2012;1.78
Upplands Väsby;män;Antal;2013;1.86
Upplands Väsby;män;Antal;2014;1.63
Upplands Väsby;män;Antal;2015;1.7
Upplands Väsby;män;Antal;2016;1.68
Upplands Väsby;män;Antal;2017;1.68
Upplands Väsby;män;Antal;2018;1.57
Upplands Väsby;män;Antal;2019;1.46
Upplands Väsby;män;Antal;2020;1.53
Upplands Väsby;män;Antal;2021;1.54
Upplands Väsby;män;Antal;2022;1.32
Upplands Väsby;män;Antal;2023;1.29
Upplands Väsby;män;Antal;2024;1.37
Upplands Väsby;män;Antal;2025;1.3
Upplands Väsby;kvinnor;Antal;2000;1.54
Upplands Väsby;kvinnor;Antal;2001;1.59
Upplands Väsby;kvinnor;Antal;2002;1.65
Upplands Väsby;kvinnor;Antal;2003;1.81
Upplands Väsby;kvinnor;Antal;2004;1.69
Upplands Väsby;kvinnor;Antal;2005;1.81
Upplands Väsby;kvinnor;Antal;2006;1.8
Upplands Väsby;kvinnor;Antal;2007;1.93
Upplands Väsby;kvinnor;Antal;2008;1.79
Upplands Väsby;kvinnor;Antal;2009;1.93
Upplands Väsby;kvinnor;Antal;2010;1.96
Upplands Väsby;kvinnor;Antal;2011;1.75
Upplands Väsby;kvinnor;Antal;2012;1.9
Upplands Väsby;kvinnor;Antal;2013;2.05
Upplands Väsby;kvinnor;Antal;2014;1.78
Upplands Väsby;kvinnor;Antal;2015;1.87
Upplands Väsby;kvinnor;Antal;2016;1.77
Upplands Väsby;kvinnor;Antal;2017;1.86
Upplands Väsby;kvinnor;Antal;2018;1.71
Upplands Väsby;kvinnor;Antal;2019;1.61
Upplands Väsby;kvinnor;Antal;2020;1.69
Upplands Väsby;kvinnor;Antal;2021;1.73
Upplands Väsby;kvinnor;Antal;2022;1.5
Upplands Väsby;kvinnor;Antal;2023;1.53
Upplands Väsby;kvinnor;Antal;2024;1.59
Upplands Väsby;kvinnor;Antal;2025;1.43
Vallentuna;män;Antal;2000;1.72
Vallentuna;män;Antal;2001;1.68
Vallentuna;män;Antal;2002;1.96
Vallentuna;män;Antal;2003;1.86
Vallentuna;män;Antal;2004;2.11
Vallentuna;män;Antal;2005;1.96
Vallentuna;män;Antal;2006;1.93
Vallentuna;män;Antal;2007;1.94
Vallentuna;män;Antal;2008;2.11
Vallentuna;män;Antal;2009;1.94
Vallentuna;män;Antal;2010;2.09
Vallentuna;män;Antal;2011;2.02
Vallentuna;män;Antal;2012;2.13
Vallentuna;män;Antal;2013;2.01
Vallentuna;män;Antal;2014;1.92
Vallentuna;män;Antal;2015;1.89
Vallentuna;män;Antal;2016;1.83
Vallentuna;män;Antal;2017;1.74
Vallentuna;män;Antal;2018;1.64
Vallentuna;män;Antal;2019;1.47
Vallentuna;män;Antal;2020;1.49
Vallentuna;män;Antal;2021;1.41
Vallentuna;män;Antal;2022;1.39
Vallentuna;män;Antal;2023;1.38
Vallentuna;män;Antal;2024;1.32
Vallentuna;män;Antal;2025;1.26
Vallentuna;kvinnor;Antal;2000;1.76
Vallentuna;kvinnor;Antal;2001;1.74
Vallentuna;kvinnor;Antal;2002;2.02
Vallentuna;kvinnor;Antal;2003;1.91
Vallentuna;kvinnor;Antal;2004;2.13
Vallentuna;kvinnor;Antal;2005;2.05
Vallentuna;kvinnor;Antal;2006;2.01
Vallentuna;kvinnor;Antal;2007;2.1
Vallentuna;kvinnor;Antal;2008;2.34
Vallentuna;kvinnor;Antal;2009;2.06
Vallentuna;kvinnor;Antal;2010;2.31
Vallentuna;kvinnor;Antal;2011;2.17
Vallentuna;kvinnor;Antal;2012;2.28
Vallentuna;kvinnor;Antal;2013;2.18
Vallentuna;kvinnor;Antal;2014;2.1
Vallentuna;kvinnor;Antal;2015;2.05
Vallentuna;kvinnor;Antal;2016;1.95
Vallentuna;kvinnor;Antal;2017;1.91
Vallentuna;kvinnor;Antal;2018;1.82
Vallentuna;kvinnor;Antal;2019;1.67
Vallentuna;kvinnor;Antal;2020;1.73
Vallentuna;kvinnor;Antal;2021;1.67
Vallentuna;kvinnor;Antal;2022;1.62
Vallentuna;kvinnor;Antal;2023;1.57
Vallentuna;kvinnor;Antal;2024;1.53
Vallentuna;kvinnor;Antal;2025;1.53
Österåker;män;Antal;2000;1.56
Österåker;män;Antal;2001;1.65
Österåker;män;Antal;2002;1.81
Österåker;män;Antal;2003;1.97
Österåker;män;Antal;2004;1.99
Österåker;män;Antal;2005;1.98
Österåker;män;Antal;2006;2.11
Österåker;män;Antal;2007;1.82
Österåker;män;Antal;2008;1.88
Österåker;män;Antal;2009;1.94
Österåker;män;Antal;2010;2.08
Österåker;män;Antal;2011;1.97
Österåker;män;Antal;2012;1.96
Österåker;män;Antal;2013;1.64
Österåker;män;Antal;2014;1.77
Österåker;män;Antal;2015;1.7
Österåker;män;Antal;2016;1.74
Österåker;män;Antal;2017;1.69
Österåker;män;Antal;2018;1.6
Österåker;män;Antal;2019;1.56
Österåker;män;Antal;2020;1.67
Österåker;män;Antal;2021;1.57
Österåker;män;Antal;2022;1.42
Österåker;män;Antal;2023;1.44
Österåker;män;Antal;2024;1.31
Österåker;män;Antal;2025;1.36
Österåker;kvinnor;Antal;2000;1.63
Österåker;kvinnor;Antal;2001;1.73
Österåker;kvinnor;Antal;2002;1.89
Österåker;kvinnor;Antal;2003;2.09
Österåker;kvinnor;Antal;2004;2.17
Österåker;kvinnor;Antal;2005;2.09
Österåker;kvinnor;Antal;2006;2.37
Österåker;kvinnor;Antal;2007;1.97
Österåker;kvinnor;Antal;2008;2.06
Österåker;kvinnor;Antal;2009;2.13
Österåker;kvinnor;Antal;2010;2.35
Österåker;kvinnor;Antal;2011;2.24
Österåker;kvinnor;Antal;2012;2.15
Österåker;kvinnor;Antal;2013;1.85
Österåker;kvinnor;Antal;2014;2.05
Österåker;kvinnor;Antal;2015;1.91
Österåker;kvinnor;Antal;2016;1.98
Österåker;kvinnor;Antal;2017;1.93
Österåker;kvinnor;Antal;2018;1.81
Österåker;kvinnor;Antal;2019;1.76
Österåker;kvinnor;Antal;2020;1.87
Österåker;kvinnor;Antal;2021;1.77
Österåker;kvinnor;Antal;2022;1.59
