Kommunkod,Kommun,Kon,År,Befolkningstäthet (invånare per kvkm),Folkmängd
0114,Upplands Väsby,1+2,2000,498.6,37576.0
0114,Upplands Väsby,1+2,2001,497.9,37524.0
0114,Upplands Väsby,1+2,2002,496.8,37444.0
0114,Upplands Väsby,1+2,2003,496.2,37397.0
0114,Upplands Väsby,1+2,2004,497.8,37517.0
0114,Upplands Väsby,1+2,2005,499.2,37624.0
0114,Upplands Väsby,1+2,2006,502.2,37848.0
0114,Upplands Väsby,1+2,2007,504.9,38055.0
0114,Upplands Väsby,1+2,2008,507.5,38248.0
0114,Upplands Väsby,1+2,2009,512.7,38641.0
0114,Upplands Väsby,1+2,2010,521.3,39289.0
0114,Upplands Väsby,1+2,2011,535.3,40194.0
0114,Upplands Väsby,1+2,2012,542.3,40723.0
0114,Upplands Väsby,1+2,2013,552.0,41449.0
0114,Upplands Väsby,1+2,2014,557.5,41816.0
0114,Upplands Väsby,1+2,2015,568.7,42661.0
0114,Upplands Väsby,1+2,2016,585.1,43891.0
0114,Upplands Väsby,1+2,2017,594.7,44605.0
0114,Upplands Väsby,1+2,2018,607.2,45543.0
0114,Upplands Väsby,1+2,2019,623.8,46786.0
0114,Upplands Väsby,1+2,2020,629.1,47184.0
0114,Upplands Väsby,1+2,2021,637.6,47820.0
0114,Upplands Väsby,1+2,2022,656.8,49262.0
0114,Upplands Väsby,1+2,2023,668.2,50110.0
0114,Upplands Väsby,1+2,2024,667.6,50323.0
0114,Upplands Väsby,1+2,2025,669.9,50495.0
0115,Vallentuna,1+2,2000,70.1,25228.0
0115,Vallentuna,1+2,2001,71.2,25643.0
0115,Vallentuna,1+2,2002,71.9,25905.0
0115,Vallentuna,1+2,2003,73.1,26306.0
0115,Vallentuna,1+2,2004,74.7,26889.0
0115,Vallentuna,1+2,2005,76.1,27397.0
0115,Vallentuna,1+2,2006,77.4,27868.0
0115,Vallentuna,1+2,2007,78.8,28382.0
0115,Vallentuna,1+2,2008,80.4,28954.0
0115,Vallentuna,1+2,2009,81.5,29361.0
0115,Vallentuna,1+2,2010,83.6,30114.0
0115,Vallentuna,1+2,2011,85.7,30715.0
0115,Vallentuna,1+2,2012,87.1,31215.0
0115,Vallentuna,1+2,2013,88.2,31616.0
0115,Vallentuna,1+2,2014,89.4,31969.0
0115,Vallentuna,1+2,2015,90.5,32380.0
0115,Vallentuna,1+2,2016,91.6,32785.0
0115,Vallentuna,1+2,2017,92.7,33175.0
0115,Vallentuna,1+2,2018,93.5,33432.0
0115,Vallentuna,1+2,2019,95.3,34090.0
0115,Vallentuna,1+2,2020,95.4,34119.0
0115,Vallentuna,1+2,2021,95.7,34246.0
0115,Vallentuna,1+2,2022,97.4,34851.0
0115,Vallentuna,1+2,2023,98.1,35076.0
0115,Vallentuna,1+2,2024,97.7,35119.0
0115,Vallentuna,1+2,2025,98.3,35361.0
0117,Österåker,1+2,2000,110.8,34427.0
0117,Österåker,1+2,2001,113.0,35108.0
0117,Österåker,1+2,2002,114.7,35633.0
0117,Österåker,1+2,2003,116.4,36183.0
0117,Österåker,1+2,2004,118.6,36867.0
0117,Österåker,1+2,2005,120.1,37336.0
0117,Österåker,1+2,2006,121.9,37879.0
0117,Österåker,1+2,2007,123.2,38286.0
0117,Österåker,1+2,2008,124.6,38720.0
0117,Österåker,1+2,2009,126.1,39173.0
0117,Österåker,1+2,2010,127.2,39521.0
0117,Österåker,1+2,2011,127.4,39792.0
0117,Österåker,1+2,2012,128.9,40269.0
0117,Österåker,1+2,2013,129.6,40495.0
0117,Österåker,1+2,2014,131.8,41180.0
0117,Österåker,1+2,2015,134.9,42130.0
0117,Österåker,1+2,2016,138.6,43293.0
0117,Österåker,1+2,2017,141.3,44130.0
0117,Österåker,1+2,2018,143.5,44831.0
0117,Österåker,1+2,2019,145.9,45574.0
0117,Österåker,1+2,2020,149.3,46644.0
0117,Österåker,1+2,2021,154.4,48234.0
0117,Österåker,1+2,2022,157.3,49138.0
0117,Österåker,1+2,2023,157.8,49282.0
0117,Österåker,1+2,2024,158.6,49787.0
0117,Österåker,1+2,2025,159.1,49943.0
0120,Värmdö,1+2,2000,70.6,31260.0
0120,Värmdö,1+2,2001,72.5,32096.0
0120,Värmdö,1+2,2002,73.7,32664.0
0120,Värmdö,1+2,2003,74.8,33134.0
0120,Värmdö,1+2,2004,76.8,34029.0
0120,Värmdö,1+2,2005,78.9,34933.0
0120,Värmdö,1+2,2006,80.8,35803.0
0120,Värmdö,1+2,2007,83.2,36870.0
0120,Värmdö,1+2,2008,84.4,37376.0
0120,Värmdö,1+2,2009,85.2,37756.0
0120,Värmdö,1+2,2010,86.5,38301.0
0120,Värmdö,1+2,2011,86.8,38894.0
0120,Värmdö,1+2,2012,87.9,39387.0
0120,Värmdö,1+2,2013,88.8,39784.0
0120,Värmdö,1+2,2014,90.5,40541.0
0120,Värmdö,1+2,2015,91.7,41107.0
0120,Värmdö,1+2,2016,93.7,42000.0
0120,Värmdö,1+2,2017,96.9,43444.0
0120,Värmdö,1+2,2018,100.0,44397.0
0120,Värmdö,1+2,2019,101.4,45000.0
0120,Värmdö,1+2,2020,102.6,45566.0
0120,Värmdö,1+2,2021,104.1,46232.0
0120,Värmdö,1+2,2022,104.6,46457.0
0120,Värmdö,1+2,2023,105.0,46637.0
0120,Värmdö,1+2,2024,104.4,46635.0
0120,Värmdö,1+2,2025,104.4,46601.0
0123,Järfälla,1+2,2000,1118.8,60471.0
0123,Järfälla,1+2,2001,1131.0,61132.0
0123,Järfälla,1+2,2002,1134.0,61290.0
0123,Järfälla,1+2,2003,1137.3,61473.0
0123,Järfälla,1+2,2004,1139.0,61564.0
0123,Järfälla,1+2,2005,1142.3,61743.0
0123,Järfälla,1+2,2006,1153.4,62342.0
0123,Järfälla,1+2,2007,1173.5,63427.0
0123,Järfälla,1+2,2008,1190.7,64355.0
0123,Järfälla,1+2,2009,1208.0,65295.0
0123,Järfälla,1+2,2010,1225.0,66211.0
0123,Järfälla,1+2,2011,1251.1,67320.0
0123,Järfälla,1+2,2012,1267.6,68210.0
0123,Järfälla,1+2,2013,1285.4,69167.0
0123,Järfälla,1+2,2014,1314.4,70701.0
0123,Järfälla,1+2,2015,1346.6,72429.0
0123,Järfälla,1+2,2016,1383.5,74412.0
0123,Järfälla,1+2,2017,1421.4,76453.0
0123,Järfälla,1+2,2018,1459.0,78480.0
0123,Järfälla,1+2,2019,1487.1,79990.0
