"region","Inv�nare per kvadratkilometer 1991","Inv�nare per kvadratkilometer 1992","Inv�nare per kvadratkilometer 1993","Inv�nare per kvadratkilometer 1994","Inv�nare per kvadratkilometer 1995","Inv�nare per kvadratkilometer 1996","Inv�nare per kvadratkilometer 1997","Inv�nare per kvadratkilometer 1998","Inv�nare per kvadratkilometer 1999","Inv�nare per kvadratkilometer 2000","Inv�nare per kvadratkilometer 2001","Inv�nare per kvadratkilometer 2002","Inv�nare per kvadratkilometer 2003","Inv�nare per kvadratkilometer 2004","Inv�nare per kvadratkilometer 2005","Inv�nare per kvadratkilometer 2006","Inv�nare per kvadratkilometer 2007","Inv�nare per kvadratkilometer 2008","Inv�nare per kvadratkilometer 2009","Inv�nare per kvadratkilometer 2010","Inv�nare per kvadratkilometer 2011","Inv�nare per kvadratkilometer 2012","Inv�nare per kvadratkilometer 2013","Inv�nare per kvadratkilometer 2014","Inv�nare per kvadratkilometer 2015","Inv�nare per kvadratkilometer 2016","Inv�nare per kvadratkilometer 2017","Inv�nare per kvadratkilometer 2018","Inv�nare per kvadratkilometer 2019","Inv�nare per kvadratkilometer 2020","Inv�nare per kvadratkilometer 2021","Inv�nare per kvadratkilometer 2022","Inv�nare per kvadratkilometer 2023","Inv�nare per kvadratkilometer 2024","Inv�nare per kvadratkilometer 2025","Folkm�ngd 1991","Folkm�ngd 1992","Folkm�ngd 1993","Folkm�ngd 1994","Folkm�ngd 1995","Folkm�ngd 1996","Folkm�ngd 1997","Folkm�ngd 1998","Folkm�ngd 1999","Folkm�ngd 2000","Folkm�ngd 2001","Folkm�ngd 2002","Folkm�ngd 2003","Folkm�ngd 2004","Folkm�ngd 2005","Folkm�ngd 2006","Folkm�ngd 2007","Folkm�ngd 2008","Folkm�ngd 2009","Folkm�ngd 2010","Folkm�ngd 2011","Folkm�ngd 2012","Folkm�ngd 2013","Folkm�ngd 2014","Folkm�ngd 2015","Folkm�ngd 2016","Folkm�ngd 2017","Folkm�ngd 2018","Folkm�ngd 2019","Folkm�ngd 2020","Folkm�ngd 2021","Folkm�ngd 2022","Folkm�ngd 2023","Folkm�ngd 2024","Folkm�ngd 2025","Landareal i kvadratkilometer 1991","Landareal i kvadratkilometer 1992","Landareal i kvadratkilometer 1993","Landareal i kvadratkilometer 1994","Landareal i kvadratkilometer 1995","Landareal i kvadratkilometer 1996","Landareal i kvadratkilometer 1997","Landareal i kvadratkilometer 1998","Landareal i kvadratkilometer 1999","Landareal i kvadratkilometer 2000","Landareal i kvadratkilometer 2001","Landareal i kvadratkilometer 2002","Landareal i kvadratkilometer 2003","Landareal i kvadratkilometer 2004","Landareal i kvadratkilometer 2005","Landareal i kvadratkilometer 2006","Landareal i kvadratkilometer 2007","Landareal i kvadratkilometer 2008","Landareal i kvadratkilometer 2009","Landareal i kvadratkilometer 2010","Landareal i kvadratkilometer 2011","Landareal i kvadratkilometer 2012","Landareal i kvadratkilometer 2013","Landareal i kvadratkilometer 2014","Landareal i kvadratkilometer 2015","Landareal i kvadratkilometer 2016","Landareal i kvadratkilometer 2017","Landareal i kvadratkilometer 2018","Landareal i kvadratkilometer 2019","Landareal i kvadratkilometer 2020","Landareal i kvadratkilometer 2021","Landareal i kvadratkilometer 2022","Landareal i kvadratkilometer 2023","Landareal i kvadratkilometer 2024","Landareal i kvadratkilometer 2025"
"0114 Upplands V�sby",476.0,476.0,474.4,475.6,481.3,483.1,482.5,488.0,492.5,498.6,497.9,496.8,496.2,497.8,499.2,502.2,504.9,507.5,512.7,521.3,535.3,542.3,552.0,557.5,568.7,585.1,594.7,607.2,623.8,629.1,637.6,656.8,668.2,667.6,669.9,35884,35884,35764,35848,36277,36415,36372,36789,37116,37576,37524,37444,37397,37517,37624,37848,38055,38248,38641,39289,40194,40723,41449,41816,42661,43891,44605,45543,46786,47184,47820,49262,50110,50323,50495,75.38,75.38,75.38,75.38,75.38,75.38,75.38,75.38,75.37,75.37,75.37,75.37,75.37,75.37,75.37,75.37,75.37,75.37,75.37,75.37,75.09,75.09,75.09,75.01,75.01,75.01,75.01,75.00,75.00,75.00,75.00,75.00,74.99,75.38,75.38
"0115 Vallentuna",62.4,63.2,64.1,64.8,65.2,65.8,66.5,67.4,68.4,70.1,71.2,71.9,73.1,74.7,76.1,77.4,78.8,80.4,81.5,83.6,85.7,87.1,88.2,89.4,90.5,91.6,92.7,93.5,95.3,95.4,95.7,97.4,98.1,97.7,98.3,22435,22717,23061,23309,23457,23684,23901,24246,24640,25228,25643,25905,26306,26889,27397,27868,28382,28954,29361,30114,30715,31215,31616,31969,32380,32785,33175,33432,34090,34119,34246,34851,35076,35119,35361,359.67,359.67,359.67,359.67,359.67,359.67,359.67,359.67,360.06,360.06,360.06,360.06,360.06,360.06,360.06,360.06,360.06,360.06,360.06,360.06,358.36,358.36,358.36,357.74,357.74,357.74,357.74,357.72,357.73,357.73,357.73,357.73,357.65,359.63,359.63
"0117 �ster�ker",99.4,101.0,102.0,103.3,103.7,105.4,106.7,107.7,109.0,110.8,113.0,114.7,116.4,118.6,120.1,121.9,123.2,124.6,126.1,127.2,127.4,128.9,129.6,131.8,134.9,138.6,141.3,143.5,145.9,149.3,154.4,157.3,157.8,158.6,159.1,30800,31308,31600,32004,32140,32655,33064,33396,33861,34427,35108,35633,36183,36867,37336,37879,38286,38720,39173,39521,39792,40269,40495,41180,42130,43293,44130,44831,45574,46644,48234,49138,49282,49787,49943,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,310.75,310.75,310.75,310.75,310.75,310.75,310.75,310.75,310.75,310.75,310.75,310.75,312.40,312.40,312.40,312.37,312.37,312.37,312.37,312.35,312.35,312.35,312.35,312.35,312.24,313.99,313.99
"0120 V�rmd�",52.6,55.6,57.5,59.2,60.5,62.3,64.7,67.0,68.4,70.6,72.5,73.7,74.8,76.8,78.9,80.8,83.2,84.4,85.2,86.5,86.8,87.9,88.8,90.5,91.7,93.7,96.9,100.0,101.4,102.6,104.1,104.6,105.0,104.4,104.4,23064,24391,25193,25949,26548,27318,28378,29396,30319,31260,32096,32664,33134,34029,34933,35803,36870,37376,37756,38301,38894,39387,39784,40541,41107,42000,43444,44397,45000,45566,46232,46457,46637,46635,46601,438.52,438.52,438.52,438.52,438.52,438.52,438.52,438.52,442.96,442.96,442.96,442.96,442.96,442.96,442.96,442.96,442.96,442.96,442.96,442.96,448.03,448.03,448.03,448.12,448.12,448.12,448.12,443.97,443.97,443.97,443.97,443.97,443.99,446.52,446.52
"0123 J�rf�lla",1058.1,1070.1,1075.7,1086.2,1095.1,1100.3,1103.5,1116.8,1113.6,1118.8,1131.0,1134.0,1137.3,1139.0,1142.3,1153.4,1173.5,1190.7,1208.0,1225.0,1251.1,1267.6,1285.4,1314.4,1346.6,1383.5,1421.4,1459.0,1487.1,1510.9,1546.2,1588.8,1605.2,1645.4,1668.1,56693,57336,57638,58196,58675,58955,59123,59839,60188,60471,61132,61290,61473,61564,61743,62342,63427,64355,65295,66211,67320,68210,69167,70701,72429,74412,76453,78480,79990,81274,83170,85460,86330,88950,90180,53.58,53.58,53.58,53.58,53.58,53.58,53.58,53.58,54.05,54.05,54.05,54.05,54.05,54.05,54.05,54.05,54.05,54.05,54.05,54.05,53.81,53.81,53.81,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.78,54.06,54.06
"0125 Eker�",89.0,92.6,94.3,95.6,96.6,97.6,98.4,98.9,101.4,102.9,104.6,106.0,107.7,109.0,111.0,112.3,114.1,114.5,116.0,117.4,118.4,120.1,121.1,122.8,124.1,126.0,127.6,130.2,132.0,132.9,133.8,134.0,132.6,132.4,133.0,19222,19994,20359,20637,20866,21073,21259,21367,21943,22266,22626,22936,23311,23594,24010,24301,24687,24779,25095,25410,25767,26160,26355,26698,26984,27406,27753,28308,28690,28879,29096,29123,28808,28910,29062,215.95,215.95,215.95,215.95,215.95,215.95,215.95,215.95,216.39,216.39,216.39,216.39,216.39,216.39,216.39,216.39,216.39,216.39,216.39,216.39,217.68,217.68,217.68,217.46,217.46,217.46,217.46,217.38,217.38,217.38,217.38,217.38,217.33,218.43,218.43
"0126 Huddinge",571.9,577.4,582.8,590.4,598.2,609.7,619.2,628.7,631.0,643.6,652.5,658.3,663.3,667.6,675.7,686.6,699.2,717.3,729.4,742.0,756.0,771.0,782.8,795.1,803.7,820.7,839.5,853.8,862.4,865.3,870.8,875.0,870.6,868.9,871.8,74119,74830,75537,76379,77384,78873,80103,81339,82870,84535,85700,86457,87121,87681,88750,90182,91827,94209,95798,97453,99049,101010,102557,104185,105311,107538,110003,111722,112848,113234,113951,114504,113920,114304,114686,129.59,129.60,129.60,129.37,129.37,129.37,129.37,129.37,131.34,131.34,131.34,131.34,131.34,131.34,131.34,131.34,131.34,131.34,131.34,131.34,131.01,131.01,131.01,131.03,131.03,131.03,131.03,130.86,130.86,130.86,130.86,130.86,130.85,131.55,131.55
"0127 Botkyrka",350.5,354.6,352.5,352.3,353.9,360.0,360.4,361.2,370.3,375.2,380.6,386.1,387.2,389.2,393.1,398.1,405.6,410.9,416.7,424.0,436.1,444.3,451.1,457.9,460.6,467.0,473.5,479.8,487.6,488.8,491.2,491.6,492.7,491.8,496.1,68840,69645,69225,69195,69500,70700,70778,70949,72153,73097,74151,75216,75432,75830,76592,77553,79031,80055,81195,82608,84677,86274,87580,88901,89425,90675,91925,93106,94606,94847,95318,95383,95592,95905,96750,196.40,196.40,196.40,196.40,196.40,196.40,196.40,196.40,194.83,194.83,194.83,194.83,194.83,194.83,194.83,194.83,194.83,194.83,194.83,194.83,194.17,194.17,194.17,194.15,194.15,194.15,194.15,194.06,194.04,194.04,194.04,194.04,194.01,195.02,195.02
"0128 Salem",232.7,234.6,237.4,233.5,235.7,236.8,239.0,241.3,248.0,253.4,254.8,255.4,258.8,260.1,263.9,270.9,277.3,279.4,281.9,283.3,290.1,293.6,295.8,298.3,303.5,307.0,308.0,310.3,309.6,313.5,318.9,320.7,322.6,321.9,319.4,12707,12808,12963,12747,12871,12927,13047,13176,13474,13766,13839,13875,14057,14127,14334,14715,15065,15177,15313,15391,15694,15881,16001,16140,16426,16615,16665,16786,16750,16959,17252,17352,17451,17507,17370,54.60,54.60,54.60,54.60,54.60,54.60,54.60,54.60,54.32,54.32,54.32,54.32,54.32,54.32,54.32,54.32,54.32,54.32,54.32,54.32,54.09,54.09,54.09,54.11,54.11,54.11,54.11,54.10,54.10,54.10,54.10,54.10,54.10,54.38,54.38
"0136 Haninge",140.1,141.3,140.9,142.4,144.7,145.5,146.9,149.2,150.0,152.2,153.9,155.0,156.0,156.0,157.0,159.5,161.1,163.9,166.6,168.4,171.0,173.4,176.7,180.0,183.2,187.2,192.3,197.6,202.2,205.7,210.0,214.5,219.1,220.4,221.5,63595,64160,63948,64676,65706,66105,66702,67764,68610,69644,70432,70902,71377,71355,71837,72956,73698,74968,76237,77054,78326,79430,80932,82407,83866,85693,88037,89989,92095,93690,95658,97683,99751,100895,101408,453.98,453.98,453.98,454.20,454.20,454.20,454.20,454.20,457.50,457.50,457.50,457.50,457.50,457.50,457.50,457.50,457.50,457.50,457.50,457.50,458.07,458.07,458.07,457.85,457.85,457.85,457.85,455.38,455.40,455.41,455.41,455.41,455.35,457.80,457.79
