indikator;tabellinnehåll;månad;Värde
BNP-indikator månad;Konjunkturläge;2000M01;-1.07
BNP-indikator månad;Konjunkturläge;2000M02;-0.84
BNP-indikator månad;Konjunkturläge;2000M03;-0.59
BNP-indikator månad;Konjunkturläge;2000M04;-0.29
BNP-indikator månad;Konjunkturläge;2000M05;0.01
BNP-indikator månad;Konjunkturläge;2000M06;0.26
BNP-indikator månad;Konjunkturläge;2000M07;0.46
BNP-indikator månad;Konjunkturläge;2000M08;0.58
BNP-indikator månad;Konjunkturläge;2000M09;0.64
BNP-indikator månad;Konjunkturläge;2000M10;0.66
BNP-indikator månad;Konjunkturläge;2000M11;0.61
BNP-indikator månad;Konjunkturläge;2000M12;0.51
BNP-indikator månad;Konjunkturläge;2001M01;0.38
BNP-indikator månad;Konjunkturläge;2001M02;0.23
BNP-indikator månad;Konjunkturläge;2001M03;0.07
BNP-indikator månad;Konjunkturläge;2001M04;-0.04
BNP-indikator månad;Konjunkturläge;2001M05;-0.13
BNP-indikator månad;Konjunkturläge;2001M06;-0.21
BNP-indikator månad;Konjunkturläge;2001M07;-0.31
BNP-indikator månad;Konjunkturläge;2001M08;-0.38
BNP-indikator månad;Konjunkturläge;2001M09;-0.4
BNP-indikator månad;Konjunkturläge;2001M10;-0.37
BNP-indikator månad;Konjunkturläge;2001M11;-0.28
BNP-indikator månad;Konjunkturläge;2001M12;-0.2
BNP-indikator månad;Konjunkturläge;2002M01;-0.14
BNP-indikator månad;Konjunkturläge;2002M02;-0.14
BNP-indikator månad;Konjunkturläge;2002M03;-0.19
BNP-indikator månad;Konjunkturläge;2002M04;-0.27
BNP-indikator månad;Konjunkturläge;2002M05;-0.35
BNP-indikator månad;Konjunkturläge;2002M06;-0.41
BNP-indikator månad;Konjunkturläge;2002M07;-0.46
BNP-indikator månad;Konjunkturläge;2002M08;-0.53
BNP-indikator månad;Konjunkturläge;2002M09;-0.59
BNP-indikator månad;Konjunkturläge;2002M10;-0.65
BNP-indikator månad;Konjunkturläge;2002M11;-0.68
BNP-indikator månad;Konjunkturläge;2002M12;-0.67
BNP-indikator månad;Konjunkturläge;2003M01;-0.64
BNP-indikator månad;Konjunkturläge;2003M02;-0.68
BNP-indikator månad;Konjunkturläge;2003M03;-0.8
BNP-indikator månad;Konjunkturläge;2003M04;-0.97
BNP-indikator månad;Konjunkturläge;2003M05;-1.13
BNP-indikator månad;Konjunkturläge;2003M06;-1.2
BNP-indikator månad;Konjunkturläge;2003M07;-1.16
BNP-indikator månad;Konjunkturläge;2003M08;-1.01
BNP-indikator månad;Konjunkturläge;2003M09;-0.88
BNP-indikator månad;Konjunkturläge;2003M10;-0.84
BNP-indikator månad;Konjunkturläge;2003M11;-0.86
BNP-indikator månad;Konjunkturläge;2003M12;-0.93
BNP-indikator månad;Konjunkturläge;2004M01;-0.94
BNP-indikator månad;Konjunkturläge;2004M02;-0.85
BNP-indikator månad;Konjunkturläge;2004M03;-0.66
BNP-indikator månad;Konjunkturläge;2004M04;-0.43
BNP-indikator månad;Konjunkturläge;2004M05;-0.22
BNP-indikator månad;Konjunkturläge;2004M06;-0.08
BNP-indikator månad;Konjunkturläge;2004M07;-0.01
BNP-indikator månad;Konjunkturläge;2004M08;0
BNP-indikator månad;Konjunkturläge;2004M09;0
BNP-indikator månad;Konjunkturläge;2004M10;0.01
